 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     326 0.154E-04 0.210E-04 0.108E-04 0.000E+00
     327 0.877E-05 0.237E-04 0.935E-05 0.000E+00
     328 0.991E-05 0.238E-04 0.838E-05 0.000E+00
     329 0.990E-05 0.175E-04 0.157E-04 0.000E+00
     330 0.857E-05 0.240E-04 0.111E-04 0.000E+00
     331 0.801E-05 0.226E-04 0.107E-04 0.000E+00
     332 0.810E-05 0.297E-04 0.112E-04 0.000E+00
     333 0.901E-05 0.169E-04 0.153E-04 0.000E+00
     334 0.105E-04 0.200E-04 0.134E-04 0.000E+00
     335 0.115E-04 0.238E-04 0.118E-04 0.000E+00
     336 0.115E-04 0.171E-04 0.100E-04 0.000E+00
     337 0.778E-05 0.221E-04 0.146E-04 0.000E+00
     338 0.925E-05 0.206E-04 0.935E-05 0.000E+00
     339 0.102E-04 0.191E-04 0.139E-04 0.000E+00
     340 0.953E-05 0.253E-04 0.105E-04 0.000E+00
     341 0.926E-05 0.219E-04 0.101E-04 0.000E+00
     342 0.925E-05 0.219E-04 0.114E-04 0.000E+00
     343 0.107E-04 0.237E-04 0.140E-04 0.000E+00
     344 0.109E-04 0.237E-04 0.124E-04 0.000E+00
     345 0.104E-04 0.201E-04 0.157E-04 0.000E+00
     346 0.112E-04 0.213E-04 0.127E-04 0.000E+00
     347 0.102E-04 0.210E-04 0.143E-04 0.000E+00
     348 0.120E-04 0.274E-04 0.992E-05 0.000E+00
     349 0.825E-05 0.263E-04 0.152E-04 0.000E+00
     350 0.100E-04 0.198E-04 0.125E-04 0.000E+00
     351 0.102E-04 0.215E-04 0.125E-04 0.000E+00
     352 0.102E-04 0.218E-04 0.105E-04 0.000E+00
     353 0.102E-04 0.211E-04 0.157E-04 0.000E+00
     354 0.103E-04 0.255E-04 0.127E-04 0.000E+00
     355 0.925E-05 0.254E-04 0.107E-04 0.000E+00
     356 0.925E-05 0.210E-04 0.150E-04 0.000E+00
     357 0.790E-05 0.168E-04 0.136E-04 0.000E+00
     358 0.827E-05 0.218E-04 0.105E-04 0.000E+00
     359 0.103E-04 0.183E-04 0.102E-04 0.000E+00
     360 0.100E-04 0.235E-04 0.164E-04 0.000E+00
     361 0.937E-05 0.210E-04 0.895E-05 0.000E+00
     362 0.103E-04 0.213E-04 0.951E-05 0.000E+00
     363 0.951E-05 0.251E-04 0.171E-04 0.000E+00
     364 0.139E-04 0.251E-04 0.128E-04 0.000E+00
     365 0.836E-05 0.193E-04 0.157E-04 0.000E+00
     366 0.844E-05 0.275E-04 0.105E-04 0.000E+00
     367 0.777E-05 0.214E-04 0.187E-04 0.000E+00
     368 0.959E-05 0.278E-04 0.779E-05 0.000E+00
     369 0.990E-05 0.194E-04 0.123E-04 0.000E+00
     370 0.990E-05 0.239E-04 0.863E-05 0.000E+00
     371 0.951E-05 0.194E-04 0.129E-04 0.000E+00
     372 0.808E-05 0.282E-04 0.878E-05 0.000E+00
     373 0.911E-05 0.168E-04 0.137E-04 0.000E+00
     374 0.102E-04 0.239E-04 0.140E-04 0.000E+00
     375 0.129E-04 0.229E-04 0.145E-04 0.000E+00
     376 0.112E-04 0.288E-04 0.105E-04 0.000E+00
     377 0.129E-04 0.177E-04 0.131E-04 0.000E+00
     378 0.869E-05 0.178E-04 0.835E-05 0.000E+00
     379 0.116E-04 0.200E-04 0.123E-04 0.000E+00
     380 0.885E-05 0.257E-04 0.118E-04 0.000E+00
     381 0.877E-05 0.215E-04 0.131E-04 0.000E+00
     382 0.877E-05 0.217E-04 0.960E-05 0.000E+00
     383 0.925E-05 0.176E-04 0.187E-04 0.000E+00
     384 0.101E-04 0.133E-04 0.115E-04 0.000E+00
     385 0.883E-05 0.203E-04 0.118E-04 0.000E+00
     386 0.105E-04 0.210E-04 0.117E-04 0.000E+00
     387 0.107E-04 0.140E-04 0.131E-04 0.000E+00
     388 0.130E-04 0.202E-04 0.865E-05 0.000E+00
     389 0.104E-04 0.203E-04 0.114E-04 0.000E+00
     390 0.878E-05 0.172E-04 0.938E-05 0.000E+00
     391 0.841E-05 0.208E-04 0.115E-04 0.000E+00
     392 0.902E-05 0.246E-04 0.129E-04 0.000E+00
     393 0.788E-05 0.243E-04 0.123E-04 0.000E+00
     394 0.951E-05 0.196E-04 0.101E-04 0.000E+00
     395 0.864E-05 0.188E-04 0.110E-04 0.000E+00
     396 0.955E-05 0.259E-04 0.167E-04 0.000E+00
     397 0.120E-04 0.189E-04 0.113E-04 0.000E+00
     398 0.878E-05 0.201E-04 0.886E-05 0.000E+00
     399 0.102E-04 0.239E-04 0.109E-04 0.000E+00
     400 0.104E-04 0.211E-04 0.885E-05 0.000E+00
     401 0.931E-05 0.201E-04 0.125E-04 0.000E+00
     402 0.864E-05 0.198E-04 0.120E-04 0.000E+00
     403 0.102E-04 0.173E-04 0.114E-04 0.000E+00
